Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry;;
"Jeff Bezos,177,United States,e-commerce,1,57,""Seattle, Washington"",United States,In Relationship,4,""Bachelor of Arts/Science, Princeton University"",TRUE,POINT (-122.3300624 47.6038321)";;
"Elon Musk,151,United States,electric vehicles,2,49,""Austin, Texas"",United States,In Relationship,7,""Bachelor of Arts/Science, University of Pennsylvania"",TRUE,POINT (-97.74369950000001 30.2711286)";;
"Bernard Arnault & family,150,France,luxury goods,3,72,""Paris, France"",France,Married,5,""Bachelor of Arts/Science, Ecole Polytechnique de Paris"",FALSE,POINT (2.3514616 48.8566969)";;
"Bill Gates,124,United States,software,4,65,""Medina, Washington"",United States,Divorced,3,""Drop Out, Harvard University"",TRUE,POINT (-122.2264453 47.620548)";;
"Mark Zuckerberg,97,United States,social network,5,36,""Palo Alto, California"",United States,Married,2,""Drop Out, Harvard University"",TRUE,POINT (-122.1598465 37.4443293)";;
"Warren Buffett,96,United States,finance,6,90,""Omaha, Nebraska"",United States,""Widowed, Remarried"",3,""Master of Science, Columbia University";" Bachelor of Arts/Science, University of Nebraska Lincoln"",TRUE,POINT (-95.9383758 41.2587459)";
"Larry Ellison,93,United States,software,7,76,""Lanai, Hawaii"",United States,In Relationship,4,""Drop Out, University of Chicago";" Drop Out, University of Illinois, Urbana-Champaign"",TRUE,POINT (-156.9029493 20.8305441)";
"Larry Page,91.5,United States,online services,8,48,""Palo Alto, California"",United States,Married,1,""Master of Science, Stanford University";" Bachelor of Arts/Science, University of Michigan"",TRUE,POINT (-122.1598465 37.4443293)";
"Sergey Brin,89,United States,online services,9,47,""Los Altos, California"",United States,Married,3,""Master of Science, Stanford University";" Bachelor of Arts/Science, University of Maryland, College Park"",TRUE,POINT (-122.116578 37.3790629)";
"Mukesh Ambani,84.5,India,diversified,10,64,""Mumbai, India"",India,Married,3,""Drop Out, Stanford University";" Bachelor of Science in Engineering, University of Mumbai"",FALSE,POINT (72.8773928 19.0759899)";
"Amancio Ortega,77,Spain,fashion retail,11,85,""La Coruna, Spain"",Spain,Married,3,,TRUE,POINT (-8.3958768 43.3712091)";;
"Francoise Bettencourt Meyers & family,73.6,France,beauty products,12,67,""Paris, France"",France,Married,2,,FALSE,POINT (2.3514616 48.8566969)";;
"Zhong Shanshan,68.9,China,""beverages, pharmaceutical"",13,66,""Hangzhou, China"",China,,,,TRUE,POINT (120.2052342 30.2489634)";;
"Steve Ballmer,68.7,United States,software,14,65,""Hunts Point, Washington"",United States,Married,3,""Bachelor of Arts/Science, Harvard University";" Drop Out, Stanford University"",TRUE,POINT (-122.230124 47.6434321)";
"Ma Huateng,65.8,China,internet media,15,49,""Shenzhen, China"",China,Married,,""Bachelor of Arts/Science, Shenzhen University"",TRUE,POINT (114.0543297 22.555454)";;
"Carlos Slim Helu & family,62.8,Mexico,telecom,16,81,""Mexico City, Mexico"",Mexico,Widowed,6,""Bachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"",TRUE,POINT (-99.1331785 19.4326296)";;
"Alice Walton,61.8,United States,retail store,17,71,""Fort Worth, Texas"",United States,Divorced,,""Bachelor of Arts/Science, Trinity University"",FALSE,POINT (-97.33274590000001 32.753177)";;
"Jim Walton,60.2,United States,retail store,18,72,""Bentonville, Arkansas"",United States,Married,4,""Bachelor of Arts/Science, University of Arkansas"",FALSE,POINT (-94.2088172 36.3728538)";;
"Rob Walton,59.5,United States,retail store,19,76,""Bentonville, Arkansas"",United States,Married,3,""Doctor of Jurisprudence, Columbia University";" Bachelor of Arts/Science, University of Arkansas"",FALSE,POINT (-94.2088172 36.3728538)";
"Michael Bloomberg,59,United States,Bloomberg LP,20,79,""New York, New York"",United States,In Relationship,2,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Johns Hopkins University"",TRUE,POINT (-74.00601519999999 40.7127281)";
"Colin Zheng Huang,55.3,China,e-commerce,21,41,""Shanghai, China"",China,,,""Master, University of Wisconsin Madison";" Bachelor of Arts/Science, Zhejiang University"",TRUE,POINT (121.4692071 31.2322758)";
"MacKenzie Scott,53,United States,e-commerce,22,51,""Seattle, Washington"",United States,Married,4,""Bachelor of Arts/Science, Princeton University"",FALSE,POINT (-122.3300624 47.6038321)";;
"Daniel Gilbert,51.9,United States,finance,23,59,""Franklin, Michigan"",United States,Married,5,""Bachelor of Arts/Science, Michigan State University";" LLB, Wayne State University"",TRUE,POINT (-83.3060432 42.5222567)";
"Gautam Adani & family,50.5,India,""infrastructure, commodities"",24,58,""Ahmedabad, India"",India,Married,2,,TRUE,POINT (72.5797068 23.0216238)";;
"Phil Knight & family,49.9,United States,sports apparel,25,83,""Hillsboro, Oregon"",United States,Married,3,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, University of Oregon"",TRUE,POINT (-122.989827 45.5228939)";
"Jack Ma,48.4,China,e-commerce,26,56,""Hangzhou, China"",China,Married,,""Bachelor of Arts/Science, Hangzhou Teacher's Institute"",TRUE,POINT (120.2052342 30.2489634)";;
"Charles Koch,46.4,United States,oil & gas,27,85,""Wichita, Kansas"",United States,Married,2,""Bachelor of Arts/Science, Massachusetts Institute of Technology";" Master of Science, Massachusetts Institute of Technology"",FALSE,POINT (-97.3375448 37.6922361)";
"Julia Koch & family,46.4,United States,oil & gas,27,59,""New York, New York"",United States,Widowed,3,,FALSE,POINT (-74.00601519999999 40.7127281)";;
"Masayoshi Son,45.4,Japan,""internet, telecom"",29,63,""Tokyo, Japan"",Japan,Married,2,""Bachelor of Arts/Science, University of California, Berkeley"",TRUE,POINT (139.7594549 35.6828387)";;
"Michael Dell,45.1,United States,computer hardware,30,56,""Austin, Texas"",United States,Married,4,""Drop Out, The University of Texas at Austin"",TRUE,POINT (-97.74369950000001 30.2711286)";;
"Tadashi Yanai & family,44.1,Japan,fashion retail,31,72,""Tokyo, Japan"",Japan,Married,2,""Bachelor of Arts/Science, Waseda University"",TRUE,POINT (139.7594549 35.6828387)";;
"François Pinault & family,42.3,France,luxury goods,32,84,""Paris, France"",France,Married,3,""Drop Out, High School"",TRUE,POINT (2.3514616 48.8566969)";;
"David Thomson & family,41.8,Canada,media,33,63,""Toronto, Canada"",Canada,Divorced,4,""Master of Arts, University of Cambridge"",FALSE,POINT (-79.3839347 43.6534817)";;
Beate Heister & Karl Albrecht Jr.,39.2,Germany,supermarkets,34,,Germany,Germany,,,,FALSE,POINT (10.4234469 51.0834196);;
"Wang Wei,39,China,package delivery,35,50,""Shenzhen, China"",China,,,,TRUE,POINT (114.0543297 22.555454)";;
"Miriam Adelson,38.2,United States,casinos,36,75,""Las Vegas, Nevada"",United States,Widowed,5,""Bachelor of Science, Hebrew University Jerusalem"",FALSE,POINT (-115.148516 36.1672559)";;
"He Xiangjian,37.7,China,home appliances,37,78,""Foshan, China"",China,Married,3,,TRUE,POINT (113.1146335 23.0247687)";;
"Dieter Schwarz,36.9,Germany,retail,38,81,""Neckarsulm, Germany"",Germany,Married,2,,FALSE,POINT (9.224944300000001 49.191735)";;
"Zhang Yiming,35.6,China,social network,39,37,""Beijing, China"",China,,,""Bachelor of Engineering, Nankai University"",TRUE,POINT (116.3912757 39.906217)";;
"Giovanni Ferrero,35.1,Italy,food,40,56,""Brussels, Belgium"",Italy,Married,2,,FALSE,POINT (4.351697 50.8465573)";;
"Alain Wertheimer,34.5,France,luxury goods,41,72,""New York, New York"",France,Married,3,,FALSE,POINT (-74.00601519999999 40.7127281)";;
"Gerard Wertheimer,34.5,France,luxury goods,41,70,""New York, New York"",France,Married,2,,FALSE,POINT (-74.00601519999999 40.7127281)";;
"Li Ka-shing,33.7,Hong Kong,diversified,43,92,Hong Kong,Hong Kong,Widowed,2,""Drop Out, High School"",TRUE,POINT (114.1628131 22.2793278)";;
"Qin Yinglin & family,33.5,China,pig breeding,44,56,""Nanyang, China"",China,Married,,,TRUE,POINT (112.5292693 33.0010496)";;
"William Lei Ding,33,China,online games,45,49,""Hangzhou, China"",China,,,""Bachelor of Arts/Science, University of Electronic Science and Technology of China"",TRUE,POINT (120.2052342 30.2489634)";;
"Len Blavatnik,32,United States,""music, chemicals"",46,63,""London, United Kingdom"",United States,Married,,""Master of Science, Columbia University"; Master of Business Administration, Harvard Business School;" Bachelor of Arts/Science, Moscow State University"",TRUE,POINT (-0.1276474 51.5073219)"
"Lee Shau Kee,31.7,Hong Kong,real estate,47,93,""Hong Kong, Hong Kong"",Hong Kong,Divorced,5,,TRUE,POINT (114.1628131 22.2793278)";;
"Jacqueline Mars,31.3,United States,""candy, pet food"",48,81,""The Plains, Virginia"",United States,Divorced,3,""Bachelor of Arts/Science, Bryn Mawr College"",FALSE,POINT (-77.774073 38.8624506)";;
"John Mars,31.3,United States,""candy, pet food"",48,85,""Jackson, Wyoming"",United States,Married,3,""Diploma, The Hotchkiss School";" Bachelor of Arts/Science, Yale University"",FALSE,POINT (-110.761815 43.479965)";
"Yang Huiyan & family,29.6,China,real estate,50,39,""Foshan, China"",China,Married,,""Bachelor of Arts/Science, Ohio State University"",FALSE,POINT (113.1146335 23.0247687)";;
"Alexey Mordashov & family,29.1,Russia,""steel, investments"",51,55,""Moscow, Russia"",Russia,Married,7,""Bachelor of Arts/Science, Leningrad Institute of Economics";" Master of Business Administration, University of Northumbria"",TRUE,POINT (37.6174943 55.7504461)";
"Robin Zeng,28.4,Hong Kong,batteries,52,52,""Ningde, China"",Hong Kong,,,""Doctorate, Chinese Academy of Social Sciences"",TRUE,POINT (119.5432715 26.6695006)";;
"Hui Ka Yan,27.7,China,real estate,53,62,""Shenzhen, China"",China,Married,2,""Bachelor of Arts/Science, Wuhan U of  Science & Tec"",TRUE,POINT (114.0543297 22.555454)";;
"Susanne Klatten,27.7,Germany,automobiles,53,59,""Bad Homburg, Germany"",Germany,Married,3,""Master of Business Administration, International Institute for Management and Development"",FALSE,POINT (8.6287451 50.2227094)";;
"Vladimir Potanin,27,Russia,metals,55,60,""Moscow, Russia"",Russia,Married,7,""Bachelor of Arts/Science, Moscow Institute of International Relations"",TRUE,POINT (37.6174943 55.7504461)";;
"Dietrich Mateschitz,26.9,Austria,beverages,56,76,""Fuschl am See, Austria"",Austria,Single,1,""Master of Business Administration, University of Vienna"",TRUE,POINT (13.3027787 47.7963895)";;
"Pang Kang,26.4,China,soy sauce,57,65,""Foshan, China"",China,,,,TRUE,POINT (113.1146335 23.0247687)";;
"Klaus-Michael Kuehne,26.3,Germany,shipping,58,83,""Schindellegi, Switzerland"",Germany,Married,,,FALSE,POINT (8.711202699999999 47.175612)";;
"Vladimir Lisin,26.2,Russia,""steel, transport"",59,65,""Moscow, Russia"",Russia,Married,3,""Doctorate, Russian Academy of Economics";" Bachelor of Arts/Science, Siberian Metallurgical Institute"",TRUE,POINT (37.6174943 55.7504461)";
"Wang Xing,26.1,China,e-commerce,60,42,""Beijing, China"",China,,,""Graduate, Tsinghua University"",TRUE,POINT (116.3912757 39.906217)";;
"German Larrea Mota Velasco & family,25.9,Mexico,mining,61,67,""Mexico City, Mexico"",Mexico,Married,,,FALSE,POINT (-99.1331785 19.4326296)";;
"Leonardo Del Vecchio & family,25.8,Italy,eyeglasses,62,85,""Milan, Italy"",Italy,Married,6,,TRUE,POINT (9.1905 45.4668)";;
"Takemitsu Takizaki,25.8,Japan,sensors,62,75,""Osaka, Japan"",Japan,Married,,,TRUE,POINT (135.490357 34.6198813)";;
"Leonard Lauder,25.5,United States,beauty products,64,88,""New York, New York"",United States,""Widowed, Remarried"",2,""Bachelor of Arts/Science, University of Pennsylvania"",FALSE,POINT (-74.00601519999999 40.7127281)";;
"Thomas Peterffy,25,United States,discount brokerage,65,76,""Palm Beach, Florida"",United States,Divorced,3,""Drop Out, New York University"",TRUE,POINT (-80.4494174 26.6279798)";;
"Vagit Alekperov,24.9,Russia,oil,66,70,""Moscow, Russia"",Russia,Married,1,""Bachelor of Science in Engineering, Azerbaijan Institute of Oil and Chemistry"",TRUE,POINT (37.6174943 55.7504461)";;
"Leonid Mikhelson,24.9,Russia,""gas, chemicals"",66,65,""Moscow, Russia"",Russia,Married,2,""Bachelor of Arts/Science, Kuybyshev Engineering and Construction Institute"",TRUE,POINT (37.6174943 55.7504461)";;
"Jim Simons,24.6,United States,hedge funds,68,83,""East Setauket, New York"",United States,Married,3,""Bachelor of Arts/Science, Massachusetts Institute of Technology";" Doctorate, University of California, Berkeley"",TRUE,POINT (-73.10585589999999 40.9418427)";
"Jiang Rensheng & family,24.4,China,vaccines,69,67,""Chongqing, China"",China,Married,1,""Associate in Arts/Science, Guilin Medical University"",TRUE,POINT (106.5478767 29.5647398)";;
"Gina Rinehart,23.6,Australia,mining,70,67,""Perth, Australia"",Australia,Widowed,4,,FALSE,POINT (115.8854007 -31.9938566)";;
"Rupert Murdoch & family,23.5,United States,""newspapers, TV network"",71,90,""New York, New York"",United States,Married,6,""Bachelor of Arts/Science, Oxford University";" Master of Arts, Oxford University"",FALSE,POINT (-74.00601519999999 40.7127281)";
"Shiv Nadar,23.5,India,software services,71,75,""Delhi, India"",India,Married,1,""Bachelor of Arts/Science, PSG College of Technology"",TRUE,POINT (77.2219388 28.6517178)";;
"Zhang Zhidong,23.4,China,internet media,73,49,""Shenzhen, China"",China,,,""Bachelor of Arts/Science, Shenzhen University";" Master of Arts, South China University of Technology"",TRUE,POINT (114.0543297 22.555454)";
"Iris Fontbona & family,23.3,Chile,mining,74,78,""Santiago, Chile"",Chile,Widowed,3,,FALSE,POINT (-70.65045019999999 -33.4377756)";;
"Lei Jun,23,China,smartphones,75,51,""Beijing, China"",China,Married,2,""Bachelor of Science in Engineering, Wuhan University"",TRUE,POINT (116.3912757 39.906217)";;
"Zhang Yong,23,Singapore,restaurants,75,50,""Singapore, Singapore"",Singapore,Married,,,TRUE,POINT (103.8194992 1.357107)";;
"Richard Qiangdong Liu,22.4,China,e-commerce,77,47,""Beijing, China"",China,Married,,""Bachelor of Arts/Science, Renmin University of China"",TRUE,POINT (116.3912757 39.906217)";;
"Gennady Timchenko,22,Russia,""oil, gas"",78,68,""Moscow, Russia"",Russia,Married,3,""Bachelor of Arts/Science, Leningrad Mechanical Institute"",TRUE,POINT (37.6174943 55.7504461)";;
"Stephen Schwarzman,21.9,United States,investments,79,74,""New York, New York"",United States,Married,3,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Yale University"",TRUE,POINT (-74.00601519999999 40.7127281)";
"Goh Cheng Liang,21.7,Singapore,paints,80,93,""Singapore, Singapore"",Singapore,Widowed,3,,TRUE,POINT (103.8194992 1.357107)";;
"Stefan Quandt,21.6,Germany,automobiles,81,54,""Frankfurt, Germany"",Germany,Married,1,""Associate in Arts/Science, Technical University of Karlsruhe"",FALSE,POINT (8.682091700000001 50.1106444)";;
"Li Xiting,21.5,Singapore,medical devices,82,70,""Shenzhen, China"",Singapore,,,""Bachelor of Science, University of Science and Technology of China"",TRUE,POINT (114.0543297 22.555454)";;
"Pierre Omidyar,21.4,United States,e-commerce,83,53,""Honolulu, Hawaii"",United States,Married,3,""Bachelor of Arts/Science, Tufts University"",TRUE,POINT (-157.8556764 21.304547)";;
"Stefan Persson,21.3,Sweden,fashion retail,84,73,""Stockholm, Sweden"",Sweden,Married,3,""Associate in Arts/Science, University of Stockholm"",FALSE,POINT (18.0710935 59.3251172)";;
"Abigail Johnson,20.9,United States,money management,85,59,""Milton, Massachusetts"",United States,Married,2,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Hobart and William Smith"",FALSE,POINT (-71.065573 42.2501425)";
"R. Budi Hartono,20.5,Indonesia,""banking, tobacco"",86,80,""Kudus, Indonesia"",Indonesia,Married,3,,FALSE,POINT (110.838189 -6.8170915)";;
"Andrew Forrest,20.4,Australia,mining,87,59,""Perth, Australia"",Australia,Married,3,""Bachelor of Arts/Science, University of Western Australia"",TRUE,POINT (115.8854007 -31.9938566)";;
"Ray Dalio,20.3,United States,hedge funds,88,71,""Greenwich, Connecticut"",United States,Married,4,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Long Island University"",TRUE,POINT (-73.6284598 41.0264862)";
"Michael Hartono,19.7,Indonesia,""banking, tobacco"",89,81,""Kudus, Indonesia"",Indonesia,Married,4,,FALSE,POINT (110.838189 -6.8170915)";;
"Li Shufu,19.7,China,automobiles,89,57,""Hangzhou, China"",China,Married,,""Master of Science, Yanshan University"",TRUE,POINT (120.2052342 30.2489634)";;
"Zhong Huijuan,19.7,China,pharmaceutical,89,60,""Shanghai, China"",China,Married,,""EMBA, Nanjing University"",TRUE,POINT (121.4692071 31.2322758)";;
"Xu Hang,19.5,Hong Kong,medical devices,92,54,""Shenzhen, China"",Hong Kong,,,""EMBA, Ceibs"; Bachelor of Engineering, Tsinghua University;" Master of Science in Engineering, Tsinghua University"",TRUE,POINT (114.0543297 22.555454)"
"Lui Che Woo & family,19.4,Hong Kong,casinos/hotels,93,92,""Hong Kong, Hong Kong"",Hong Kong,Married,5,,TRUE,POINT (114.1628131 22.2793278)";;
"Emmanuel Besnier,19.1,France,cheese,94,50,""Laval, France"",France,,,,FALSE,POINT (-0.7723499 48.0710377)";;
"Laurene Powell Jobs & family,19,United States,technology telecom,95,57,""Palo Alto, California"",United States,Widowed,3,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"",FALSE,POINT (-122.1598465 37.4443293)";
"Eric Schmidt,18.9,United States,online services,96,66,""Atherton, California"",United States,Married,2,""Bachelor of Arts/Science, Princeton University"; Doctorate, University of California, Berkeley;" Master of Science, University of California, Berkeley"",TRUE,POINT (-122.2058272 37.453773)"
"Sun Piaoyang,18.9,China,pharmaceutical,96,62,""Lianyungang, China"",China,Married,1,""Bachelor of Arts/Science, China Pharmaceutical University";" Doctorate, Nanjing University"",TRUE,POINT (119.215813 34.5978596)";
"Theo Albrecht, Jr. & family,18.8,Germany,retail store,98,70,""Mulheim an der Ruhr, Germany"",Germany,,1,,FALSE,POINT (6.8829192 51.4272925)";;
"Alisher Usmanov,18.4,Russia,""steel, telecom, investments"",99,67,""Moscow, Russia"",Russia,Married,,""Master, Finance Academy under the Government of the Russian Federation";" Master of Laws, Moscow Institute of International Relations"",TRUE,POINT (37.6174943 55.7504461)";
"Robert Pera,18.3,United States,wireless networking gear,100,43,""San Jose, California"",United States,Single,,""Bachelor of Arts/Science, University of California, San Diego";" Master of Science, University of California, San Diego"",TRUE,POINT (-121.890583 37.3361905)";
"Wu Yajun,18.3,China,real estate,100,57,""Beijing, China"",China,Divorced,1,Northwestern Polytechnical University,TRUE,POINT (116.3912757 39.906217)";;
"Fan Hongwei & family,18.2,China,petrochemicals,102,54,""Wujiang, China"",China,Married,,,TRUE,POINT (120.6406744 31.1415158)";;
"Dhanin Chearavanont,18.1,Thailand,diversified,103,82,""Bangkok, Thailand"",Thailand,Married,5,,FALSE,POINT (100.4930399 13.7544238)";;
"Peter Woo,18,Hong Kong,real estate,104,74,""Hong Kong, Hong Kong"",Hong Kong,Married,3,""Master of Business Administration, Columbia Business School"",FALSE,POINT (114.1628131 22.2793278)";;
"Chen Bang,17.9,China,hospitals,105,55,""Changsha, China"",China,Married,,""Master of Business Administration, Hunan University"",TRUE,POINT (112.9335861 28.2302056)";;
"Andrey Melnichenko,17.9,Russia,""coal, fertilizers"",105,49,""Moscow, Russia"",Russia,Married,2,""Master of Science, Plekhanov Russian University of Economics"",TRUE,POINT (37.6174943 55.7504461)";;
"Dustin Moskovitz,17.8,United States,social network,107,36,""San Francisco, California"",United States,Married,,""Drop Out, Harvard University"",TRUE,POINT (-122.419906 37.7790262)";;
"Su Hua,17.8,China,video streaming,107,39,""Beijing, China"",China,,,""Bachelor of Science, Tsinghua University"",TRUE,POINT (116.3912757 39.906217)";;
"Donald Newhouse,17.6,United States,media,109,91,""New York, New York"",United States,Widowed,3,""Drop Out, Syracuse University"",FALSE,POINT (-74.00601519999999 40.7127281)";;
"Petr Kellner,17.5,Czechia,""finance, telecommunications"",110,,,Czechia,,4,""Bachelor of Arts/Science, University of Economics in Prague"",TRUE,POINT (15.4749544 49.8167003)";;
"Lee Man Tat,17.4,Hong Kong,food,111,91,""Hong Kong, Hong Kong"",Hong Kong,Married,5,,FALSE,POINT (114.1628131 22.2793278)";;
"Pavel Durov,17.2,Russia,messaging app,112,36,""Dubai, United Arab Emirates"",Russia,Single,2,""Master of Science, Saint Petersburg State University"",TRUE,POINT (55.1885387 25.0742823)";;
"James Ratcliffe,17,United Kingdom,chemicals,113,68,""London, United Kingdom"",United Kingdom,Married,,,TRUE,POINT (-0.1276474 51.5073219)";;
"Jorge Paulo Lemann & family,16.9,Brazil,beer,114,81,""Zurich, Switzerland"",Brazil,Married,5,""Bachelor of Arts/Science, Harvard University"",TRUE,POINT (8.5410422 47.3744489)";;
"Reinhold Wuerth & family,16.8,Germany,fasteners,115,86,""Kuenzelsau, Germany"",Germany,Married,3,,TRUE,POINT (9.690151200000001 49.2803765)";;
"Charlene de Carvalho-Heineken & family,16.7,Netherlands,beer,116,66,""London, United Kingdom"",Netherlands,Married,5,""Bachelor of Arts/Science, Rijnlands Lyceum Wassenaar";" Doctor of Jurisprudence, University of Leiden"",FALSE,POINT (-0.1276474 51.5073219)";
"Radhakishan Damani,16.5,India,""retail, investments"",117,66,""Mumbai, India"",India,Married,3,,TRUE,POINT (72.8773928 19.0759899)";;
"Wang Chuanfu,16.3,China,""batteries, automobiles"",118,55,""Shenzhen, China"",China,Married,,""Master of Science, Beijing Non-Ferrous Research Institute";" Bachelor of Arts/Science, Central South Industrial University of Technology"",TRUE,POINT (114.0543297 22.555454)";
"Steve Cohen,16,United States,hedge funds,119,64,""Greenwich, Connecticut"",United States,Married,7,""Bachelor of Arts/Science, University of Pennsylvania, The Wharton School"",TRUE,POINT (-73.6284598 41.0264862)";;
"Ken Griffin,16,United States,hedge funds,119,52,""Chicago, Illinois"",United States,Divorced,3,""Bachelor of Arts/Science, Harvard University"",TRUE,POINT (-87.6244212 41.8755616)";;
"Chen Zhiping,15.9,China,e-cigarettes,121,45,""Shenzhen, China"",China,Married,,""Master, China Europe International Business School";" Bachelor of Arts/Economics, Tongji University"",TRUE,POINT (114.0543297 22.555454)";
"Ernest Garcia, II.,15.9,United States,used cars,121,63,""Tempe, Arizona"",United States,Married,,""Bachelor of Science, Stanford University"",TRUE,POINT (-111.9400091 33.4255056)";;
"Uday Kotak,15.9,India,banking,121,62,""Mumbai, India"",India,Married,2,""Bachelor of Arts/Science, Bombay University";" Master of Business Administration, University of Bombay"",TRUE,POINT (72.8773928 19.0759899)";
"Carl Icahn,15.8,United States,investments,124,85,""Indian Creek, Florida"",United States,Married,2,""Drop Out, New York University";" Bachelor of Arts/Science, Princeton University"",TRUE,POINT (-80.1372166 25.8771392)";
"Suleiman Kerimov & family,15.8,Russia,investments,124,55,""Moscow, Russia"",Russia,Married,3,""Bachelor of Arts/Science, Dagestan State University"",TRUE,POINT (37.6174943 55.7504461)";;
