Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,geometry;;
"Thomas Frist, Jr. & family,15.7,United States,hospitals,126,82,""Nashville, Tennessee"",United States,Married,3,""Bachelor of Arts/Science, Vanderbilt University";" Medical Doctor, Washington University"",TRUE,POINT (-86.7743531 36.1622296)";
"Lukas Walton,15.6,United States,retail store,127,34,""Jackson, Wyoming"",United States,Single,,""Bachelor of Arts/Science, Colorado College"",FALSE,POINT (-110.761815 43.479965)";;
"Mikhail Fridman,15.5,Russia,""oil, banking, telecom"",128,57,""London, United Kingdom"",Russia,Divorced,5,""Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"",TRUE,POINT (-0.1276474 51.5073219)";;
"Wei Jianjun & family,15.5,China,automobiles,128,57,""Baoding, China"",China,Married,,""Bachelor of Arts/Science, Hebei Province"",TRUE,POINT (115.490696 38.8579735)";;
"Zuo Hui,15.5,China,real estate services,128,50,""Beijing, China"",China,,,,TRUE,POINT (116.3912757 39.906217)";;
"Zhou Qunfei & family,15.4,Hong Kong,smartphone screens,131,,""Hong Kong, Hong Kong"",Hong Kong,Married,,,TRUE,POINT (114.1628131 22.2793278)";;
"Donald Bren,15.3,United States,real estate,132,88,""Newport Beach, California"",United States,Married,7,""Bachelor of Arts/Science, University of Washington"",TRUE,POINT (-117.9294401 33.6170092)";;
"Hinduja brothers,14.9,United Kingdom,diversified,133,,""London, United Kingdom"",United Kingdom,,,,FALSE,POINT (-0.1276474 51.5073219)";;
"Lakshmi Mittal,14.9,India,steel,133,70,""London, United Kingdom"",India,Married,2,""Bachelor of Arts/Science, St Xavier's College Calcutta"",FALSE,POINT (-0.1276474 51.5073219)";;
"Georg Schaeffler,14.9,Germany,auto parts,133,56,""Herzogenaurach, Germany"",Germany,Divorced,4,,FALSE,POINT (10.8815262 49.5710376)";;
"Eric Yuan & family,14.9,United States,video conferencing,133,51,""Santa Clara, California"",United States,Married,3,""Master of Engineering Management, China University of Mining and Technology";" Bachelor of Engineering, Shandong Institute of Business and Technology"",TRUE,POINT (-121.6846349 37.2333253)";
"Wang Jianlin,14.8,China,real estate,137,66,""Beijing, China"",China,Married,1,Liaoning University,TRUE,POINT (116.3912757 39.906217)";;
"Kwong Siu-hing,14.7,Hong Kong,real estate,138,91,""Hong Kong, Hong Kong"",Hong Kong,Widowed,4,,FALSE,POINT (114.1628131 22.2793278)";;
"Robin Li,14.7,China,internet search,138,52,""Beijing, China"",China,Married,4,""Bachelor of Arts/Science, Peking University";" Master of Arts, University at Buffalo"",TRUE,POINT (116.3912757 39.906217)";
"Pallonji Mistry,14.6,Ireland,construction,140,91,""Mumbai, India"",Ireland,Married,4,,FALSE,POINT (72.8773928 19.0759899)";;
"Eduardo Saverin,14.6,Brazil,social network,140,39,""Singapore, Singapore"",Brazil,Married,1,""Bachelor of Arts/Science, Harvard University"",TRUE,POINT (103.8194992 1.357107)";;
"Roman Abramovich,14.5,Russia,""steel, investments"",142,54,""Moscow, Russia"",Russia,Married,7,""Bachelor of Arts/Science, Moscow State Law Academy"",TRUE,POINT (37.6174943 55.7504461)";;
"David Tepper,14.5,United States,hedge funds,142,63,New Jersey,United States,Married,3,""Master of Business Administration, David A. Tepper School of Business";" Bachelor of Arts/Science, University of Pittsburgh"",TRUE,POINT (-74.4041622 40.0757384)";
"Gong Hongjia & family,14.4,Hong Kong,video surveillance,144,56,""Hong Kong, Hong Kong"",Hong Kong,Married,2,""Bachelor of Arts/Science, Huazhong University of Science and Technology"",TRUE,POINT (114.1628131 22.2793278)";;
"Mike Cannon-Brookes,14.2,Australia,software,145,41,""Sydney, Australia"",Australia,Married,2,""Bachelor of Arts/Science, University of New South Wales"",TRUE,POINT (151.0979607 -33.8641922)";;
"John Menard, Jr.,14.2,United States,home improvement stores,145,81,""Eau Claire, Wisconsin"",United States,Married,6,""Bachelor of Arts/Science, University of Wisconsin, Eau Claire"",TRUE,POINT (-91.4984941 44.811349)";;
"Seo Jung-jin,14.2,South Korea,biotech,145,63,""Seoul, South Korea"",South Korea,Married,2,""Bachelor of Arts/Science, Konkuk University";" Master of Science, Konkuk University"",TRUE,POINT (126.9782914 37.5666791)";
"Cheng Yixiao,14.1,China,video streaming app,148,37,""Beijing, China"",China,,,,TRUE,POINT (116.3912757 39.906217)";;
"Liang Wengen,14.1,China,construction equipment,148,64,""Changsha, China"",China,Married,1,""Bachelor of Arts/Science, Central South University"",TRUE,POINT (112.9335861 28.2302056)";;
"Scott Farquhar,14,Australia,software,150,41,""Sydney, Australia"",Australia,Married,2,""Bachelor of Arts/Science, University of New South Wales"",TRUE,POINT (151.0979607 -33.8641922)";;
"Finn Rausing,13.9,Sweden,packaging,151,66,""London, United Kingdom"",Sweden,,,,FALSE,POINT (-0.1276474 51.5073219)";;
"Jorn Rausing,13.9,Sweden,packaging,151,61,""Surrey, United Kingdom"",Sweden,,,,FALSE,POINT (-0.3414524 51.2715316)";;
"Kirsten Rausing,13.9,Sweden,packaging,151,68,""Newmarket, United Kingdom"",Sweden,,,,FALSE,POINT (0.4065503 52.2443103)";;
"Brian Chesky,13.7,United States,online services,154,39,""San Francisco, California"",United States,Single,,""Bachelor of Arts/Science, Rhode Island School of Design"",TRUE,POINT (-122.419906 37.7790262)";;
"Joseph Lau,13.6,Hong Kong,real estate,155,69,""Hong Kong, Hong Kong"",Hong Kong,Divorced,6,,TRUE,POINT (114.1628131 22.2793278)";;
"David Duffield,13.5,United States,business software,156,80,""Incline Village, Nevada"",United States,Married,10,""Bachelor of Engineering, Cornell University";" Master of Business Administration, Samuel Curtis Johnson Graduate School of Management"",TRUE,POINT (-119.9519094 39.2501246)";
"Charoen Sirivadhanabhakdi,13.5,Thailand,""alcohol, real estate"",156,77,""Bangkok, Thailand"",Thailand,Married,5,,TRUE,POINT (100.4930399 13.7544238)";;
"Kim Jung-ju,13.3,South Korea,online games,158,53,""Seoul, South Korea"",South Korea,Married,2,""Doctorate, Korea Advanced Institute of Science and Technology"; Master of Science, Korea Advanced Institute of Science and Technology;" Bachelor of Arts/Science, Seoul National University"",TRUE,POINT (126.9782914 37.5666791)"
"Robert & Philip Ng,13.3,Singapore,real estate,158,,""Singapore, Singapore"",Singapore,,,,FALSE,POINT (103.8194992 1.357107)";;
"Zhang Bangxin,13.3,China,education,158,41,""Beijing, China"",China,,,""EMBA, China Europe International Business School"",TRUE,POINT (116.3912757 39.906217)";;
"Anders Holch Povlsen,13.2,Denmark,fashion retail,161,48,""Aarhus, Denmark"",Denmark,Married,4,,FALSE,POINT (10.2134046 56.1496278)";;
"Wang Wenyin,13.2,China,""mining, copper products"",161,53,""Shenzhen, China"",China,,,,TRUE,POINT (114.0543297 22.555454)";;
"Wang Liping & family,13.1,China,hydraulic machinery,163,55,""Changzhou, China"",China,Married,,,TRUE,POINT (119.9691539 31.8122623)";;
"Tatyana Bakalchuk,13,Russia,ecommerce,164,45,""Moscow region, Russia"",Russia,Married,4,""Bachelor of Science, State University of Management"",TRUE,POINT (40.3072897 43.6713223)";;
"Michael Platt,13,United Kingdom,hedge funds,164,53,""Geneva, Switzerland"",United Kingdom,,,""Bachelor of Arts/Science, London School of Economics";" Bachelor of Arts/Science, London School of Economics"",TRUE,POINT (6.1466014 46.2017559)";
"Huang Shilin,12.9,China,batteries,166,54,""Ningde, China"",China,,,""Bachelor of Technology, Hefei University of Technology"",TRUE,POINT (119.5432715 26.6695006)";;
"Ricardo Salinas Pliego & family,12.9,Mexico,""retail, media"",166,65,""Mexico City, Mexico"",Mexico,Married,6,""Master of Business Administration, A. B. Freeman School of Business";" Bachelor of Arts/Science, Tecnológico de Monterrey"",FALSE,POINT (-99.1331785 19.4326296)";
"Kumar Birla,12.8,India,commodities,168,53,""Mumbai, India"",India,Married,3,""Master of Business Administration, London Business School";" Bachelor of Arts/Science, University of Bombay"",FALSE,POINT (72.8773928 19.0759899)";
"Dang Yanbao,12.7,China,coal,169,48,""Yinchuan, China"",China,,,""Master of Business Administration, Peking University"",TRUE,POINT (106.2261926 38.4852037)";;
"Cyrus Poonawalla,12.7,India,vaccines,169,79,""Pune, India"",India,Widowed,1,""Bachelor of Arts/Science, Pune University";" Doctorate, Pune University"",FALSE,POINT (73.8544541 18.521428)";
"Robert Kuok,12.6,Malaysia,""palm oil, shipping, property"",171,97,""Hong Kong, Hong Kong"",Malaysia,Married,8,""Bachelor of Arts/Science, Raffles College"",TRUE,POINT (114.1628131 22.2793278)";;
"Hank & Doug Meijer,12.6,United States,supermarkets,171,,""Grand Rapids, Michigan"",United States,,,,FALSE,POINT (-85.6678639 42.9632405)";;
"Jack Dorsey,12.5,United States,social network,173,44,""San Francisco, California"",United States,Single,,""Drop Out, New York University"",TRUE,POINT (-122.419906 37.7790262)";;
"Lu Zhongfang,12.5,China,education,173,78,""Tonghua, China"",China,,,,TRUE,POINT (125.9170455 41.7225544)";;
"Ma Jianrong & family,12.5,China,""textiles, apparel"",173,57,""Ningbo, China"",China,Married,,,TRUE,POINT (121.6203873 29.8622194)";;
"Zhang Tao,12.5,China,e-commerce,173,48,""Beijing, China"",China,,,,TRUE,POINT (116.3912757 39.906217)";;
"Nathan Blecharczyk,12.4,United States,internet service provider,177,37,""San Francisco, California"",United States,Married,2,""Bachelor of Arts/Science, Harvard University"",TRUE,POINT (-122.419906 37.7790262)";;
"John Doerr,12.4,United States,venture capital,177,69,""Woodside, California"",United States,Married,2,""Master of Business Administration, Harvard University"; Bachelor of Arts/Science, Rice University;" Master of Science, Rice University"",TRUE,POINT (-122.2538557 37.4299388)"
"Joe Gebbia,12.4,United States,internet service provider,177,39,""San Francisco, California"",United States,In Relationship,,""Bachelor of Arts/Science, Rhode Island School of Design"",TRUE,POINT (-122.419906 37.7790262)";;
"Forrest Li,12.4,Singapore,gaming,177,43,""Singapore, Singapore"",Singapore,Married,,""Bachelor of Engineering, Shanghai Jiaotong University";" Master of Business Administration, Stanford Graduate School of Business"",TRUE,POINT (103.8194992 1.357107)";
"Yu Renrong,12.3,China,semiconductors,181,55,""Ningbo, China"",China,,,""Bachelor of Science in Engineering, Tsinghua University"",TRUE,POINT (121.6203873 29.8622194)";;
"Liu Yonghao & family,12.1,China,agribusiness,182,69,""Chengdu, China"",China,Married,2,,TRUE,POINT (104.0633717 30.6598628)";;
"Gordon Moore,12.1,United States,computer hardware,182,92,""Woodside, California"",United States,Married,2,""Doctorate, California Institute of Technology";" Bachelor of Arts/Science, University of California, Berkeley"",TRUE,POINT (-122.2538557 37.4299388)";
"Jeff Yass,12,United States,""trading, investments"",184,62,""Haverford, Pennsylvania"",United States,Married,4,""Bachelor of Arts/Economics, SUNY Binghamton"",TRUE,POINT (-75.2943516 40.0131672)";;
"Bobby Murphy,11.9,United States,social network,185,32,""Venice, California"",United States,Single,,""Bachelor of Arts/Science, Stanford University"",TRUE,POINT (-118.4615272 33.9883349)";;
"Patrick Drahi,11.8,France,telecom,186,57,""Zermatt, Switzerland"",France,Married,4,,TRUE,POINT (7.7494002 46.0222273)";;
Jensen Huang,11.8,United States,semiconductors,186,,,,,,,,POINT (-100.4458825 39.7837304);;
"Alexander Otto,11.8,Germany,real estate,186,53,""Hamburg, Germany"",Germany,Married,,""Master of Business Administration, Harvard Business School";" Bachelor of Arts/Science, Harvard College"",FALSE,POINT (10.000654 53.550341)";
"Cen Junda,11.6,China,pharmaceutical,189,56,""Lianyungang, China"",China,,,""Doctorate, Zhejiang University"",TRUE,POINT (119.215813 34.5978596)";;
"Joseph Tsai,11.6,Canada,e-commerce,189,57,""Hong Kong, Hong Kong"",Canada,Married,3,""Bachelor of Arts/Science, Yale University";" Doctor of Jurisprudence, Yale University"",TRUE,POINT (114.1628131 22.2793278)";
"Aliko Dangote,11.5,Nigeria,""cement, sugar"",191,64,""Lagos, Nigeria"",Nigeria,Divorced,3,""Bachelor of Arts/Science, Al-Azhar University"",TRUE,POINT (3.3941795 6.4550575)";;
"Marcel Herrmann Telles,11.5,Brazil,beer,191,71,""Sao Paulo, Brazil"",Brazil,Married,2,""Bachelor of Arts/Science, Universidade Federal do Rio de Janeiro"",TRUE,POINT (-46.6333824 -23.5506507)";;
"Mikhail Prokhorov,11.4,Russia,investments,193,56,""Moscow, Russia"",Russia,Single,,""Bachelor of Arts/Science, Moscow Institute of Finance"",TRUE,POINT (37.6174943 55.7504461)";;
"Jorge Moll Filho & family,11.3,Brazil,hospitals,194,76,""Rio de Janeiro, Brazil"",Brazil,Married,5,""Masters of Public Health, Universidade Federal do Rio de Janeiro"",TRUE,POINT (-43.2093727 -22.9110137)";;
"Viktor Rashnikov,11.2,Russia,steel,195,72,""Magnitogorsk, Russia"",Russia,Married,2,""Bachelor of Science in Engineering, Magnitogorsk Mining and Metallurgical Institute"",TRUE,POINT (58.983136 53.4242184)";;
"Harry Triguboff,11.2,Australia,real estate,195,88,""Sydney, Australia"",Australia,Married,2,""Bachelor of Arts/Science, University of Leeds"",TRUE,POINT (151.0979607 -33.8641922)";;
"Leonid Fedun & family,11.1,Russia,oil,197,65,""Moscow, Russia"",Russia,Married,2,""Master of Science, Military Academy F.E.Dzerzhinsky"",TRUE,POINT (37.6174943 55.7504461)";;
"Eyal Ofer,11.1,Israel,""real estate, shipping"",197,70,""Monte Carlo, Monaco"",Israel,Married,4,,FALSE,POINT (7.426559 43.7402961)";;
"Evan Spiegel,11.1,United States,social network,197,30,""Los Angeles, California"",United States,Married,2,""Bachelor of Science, Stanford University"",TRUE,POINT (-118.242766 34.0536909)";;
"Luis Carlos Sarmiento,11,Colombia,banking,200,88,""Bogota, Colombia"",Colombia,Married,5,""Bachelor of Arts/Science, National University of Colombia"",TRUE,POINT (-74.083652 4.6533326)";;
"Andreas Struengmann & family,11,Germany,pharmaceutical,200,71,""Tegernsee, Germany"",Germany,Married,2,""Medical Doctor, University at Buffalo"",TRUE,POINT (11.7543337 47.7099191)";;
"Thomas Struengmann & family,11,Germany,pharmaceutical,200,71,""Tegernsee, Germany"",Germany,Married,4,""Master of Business Administration, University of Augsburg";" Master of Business Administration, University of Augsburg"",TRUE,POINT (11.7543337 47.7099191)";
"Rodolphe Saadé & family,10.9,France,shipping,203,51,""Marseille, France"",France,,,""Bachelor of Arts/Science, Concordia University"",FALSE,POINT (5.3699525 43.2961743)";;
"Dilip Shanghvi,10.9,India,pharmaceutical,203,65,""Mumbai, India"",India,Married,2,""Bachelor of Arts/Science, Calcutta University"",TRUE,POINT (72.8773928 19.0759899)";;
"Tom & Judy Love,10.8,United States,retail & gas stations,205,,""Oklahoma City, Oklahoma"",United States,Married,4,,TRUE,POINT (-97.5170536 35.4729886)";;
"Anthony Pratt,10.8,Australia,manufacturing,205,61,""Melbourne, Australia"",Australia,,2,""Bachelor of Arts/Economics, Monash University"",FALSE,POINT (144.960964 -37.8077694)";;
"Wang Laisheng,10.8,China,electronics components,205,56,""Shenzhen, China"",China,,,,TRUE,POINT (114.0543297 22.555454)";;
"Gianluigi & Rafaela Aponte,10.7,Switzerland,Shipping,208,80,""Geneva, Switzerland"",Switzerland,,2,,TRUE,POINT (6.1466014 46.2017559)";;
"Wang Laichun,10.7,China,electronics components,208,53,""Shenzhen, China"",China,Married,,""EMBA, Tsinghua University"",TRUE,POINT (114.0543297 22.555454)";;
"Chen Jianhua,10.6,China,chemicals,210,50,""Wujiang, China"",China,Married,,""Bachelor of Arts/Science, Nanjing Normal University"",TRUE,POINT (120.6406744 31.1415158)";;
"Leng Youbin,10.6,China,infant formula,210,52,""Beijing, China"",China,,,""Bachelor of Arts/Science, Northeast Agriculture University";" EMBA, Peking University"",TRUE,POINT (116.3912757 39.906217)";
"Charles Schwab,10.6,United States,discount brokerage,210,83,""Woodside, California"",United States,Married,5,""Master of Business Administration, Stanford Graduate School of Business";" Bachelor of Arts/Science, Stanford University"",TRUE,POINT (-122.2538557 37.4299388)";
"Li Zhenguo & family,10.5,China,solar wafers and modules,213,53,""Xi'an, China"",China,Married,,,TRUE,POINT (108.9352154 34.3430507)";;
"Sunil Mittal & family,10.5,India,telecom,213,63,""Delhi, India"",India,Married,3,""Bachelor of Arts/Science, Punjab University"",TRUE,POINT (77.2219388 28.6517178)";;
"Melker Schorling & family,10.5,Sweden,investments,213,73,""Stockholm, Sweden"",Sweden,Married,2,""Master of Business Administration, Gothenburg University"",TRUE,POINT (18.0710935 59.3251172)";;
"Cai Kui,10.4,China,real estate,216,58,""Chengdu, China"",China,Divorced,1,""Bachelor of Arts/Science, Nanjing University of Aeronautics & Astronautics"",TRUE,POINT (104.0633717 30.6598628)";;
"John Fredriksen,10.4,Cyprus,shipping,216,76,""London, United Kingdom"",Cyprus,Widowed,2,,TRUE,POINT (-0.1276474 51.5073219)";;
"Qi Shi & family,10.4,China,financial information,216,51,""Shanghai, China"",China,,,""EMBA, Fudan University";" Bachelor of Arts/Science, Shanghai Jiaotong University"",TRUE,POINT (121.4692071 31.2322758)";
"Chase Coleman, III.,10.3,United States,investments,219,45,""New York, New York"",United States,Married,,""Bachelor of Arts/Science, Williams College"",TRUE,POINT (-74.00601519999999 40.7127281)";;
"Hui Wing Mau,10.3,Hong Kong,real estate,219,70,""Hong Kong, Hong Kong"",Hong Kong,Married,2,""Master of Business Administration, University of South Australia"",TRUE,POINT (114.1628131 22.2793278)";;
"Edward Johnson, III.,10.3,United States,money management,219,90,""Boston, Massachusetts"",United States,Married,3,""Bachelor of Arts/Science, Harvard University"",FALSE,POINT (-71.0582912 42.3602534)";;
"Liu Hanyuan,10.3,China,agribusiness,219,57,""Chengdu, China"",China,Married,,""Bachelor of Arts/Science, Sichuan University"",TRUE,POINT (104.0633717 30.6598628)";;
"Larry Xiangdong Chen,10.2,China,education,223,49,""Beijing, China"",China,,,""Ph.D, Renmin University of China"",TRUE,POINT (116.3912757 39.906217)";;
"Philip Anschutz,10.1,United States,investments,224,81,""Denver, Colorado"",United States,Married,3,""Bachelor of Arts/Science, University of Kansas"",FALSE,POINT (-104.9848623 39.7392364)";;
"Dietmar Hopp & family,10.1,Germany,software,224,81,""Walldorf, Germany"",Germany,Married,2,""Master of Science, University of Karlsruhe"",TRUE,POINT (8.6433518 49.3038134)";;
"German Khan,10.1,Russia,""oil, banking, telecom"",224,59,""London, United Kingdom"",Russia,Married,4,""Bachelor of Arts/Science, Moscow Institute of Steel and Alloys"",TRUE,POINT (-0.1276474 51.5073219)";;
"Li Ge,10.1,United States,pharmaceutical ingredients,224,54,""Shanghai, China"",United States,Married,,""Ph.D, Columbia University"",TRUE,POINT (121.4692071 31.2322758)";;
"Jay Chaudhry,10,United States,security software,228,61,""Reno, Nevada"",United States,Married,3,,TRUE,POINT (-119.8126581 39.5261206)";;
Eric Wittouck,10,Belgium,investments,228,74,Monaco,Belgium,,,,FALSE,POINT (7.4276832 43.7323492);;
"Carl Cook,9.9,United States,medical devices,230,58,""Bloomington, Indiana"",United States,Married,,""Bachelor of Arts/Science, Purdue University";" Master of Business Administration, Tippie School of Management"",FALSE,POINT (-86.5342881 39.1670396)";
"Jan Koum,9.9,United States,software,230,45,""Atherton, California"",United States,Single,,""Drop Out, San Jose State University"",TRUE,POINT (-122.2058272 37.453773)";;
"Herbert Kohler, Jr. & family,9.8,United States,plumbing fixtures,232,82,""Kohler, Wisconsin"",United States,Married,3,""Bachelor of Arts/Science, Yale University"",FALSE,POINT (-87.7817541 43.7391616)";;
"Tobi Lutke,9.8,Canada,e-commerce,232,40,""Ottawa, Canada"",Canada,Married,3,,TRUE,POINT (-75.690308 45.421106)";;
"James Dyson,9.7,United Kingdom,vacuums,234,74,""Gloucestershire, United Kingdom"",United Kingdom,Married,3,,TRUE,POINT (-2.1666674 51.8333313)";;
"Mat Ishbia,9.7,United States,finance,234,41,""Bloomfield Hills, Michigan"",United States,Divorced,3,""Bachelor of Business Administration, Michigan State University"",FALSE,POINT (-83.24548830000001 42.583645)";;
"Savitri Jindal & family,9.7,India,steel,234,71,""Hisar, India"",India,Widowed,9,,FALSE,POINT (75.7461103 29.168807)";;
"Friedhelm Loh,9.7,Germany,manufacturing,234,74,""Haiger, Germany"",Germany,Married,3,,FALSE,POINT (8.2039451 50.7420214)";;
"Iskander Makhmudov,9.7,Russia,""mining, metals, machinery"",234,57,""Moscow, Russia"",Russia,Married,1,""Bachelor of Arts/Science, Tashkent State University"",TRUE,POINT (37.6174943 55.7504461)";;
"Stefano Pessina,9.7,Italy,drugstores,234,79,""Monte Carlo, Monaco"",Italy,Divorced,2,""Bachelor of Engineering, Politecnico di Milano"",FALSE,POINT (7.426559 43.7402961)";;
"Quek Leng Chan,9.7,Malaysia,""banking, property"",234,79,""Kuala Lumpur, Malaysia"",Malaysia,Married,3,""LLB, Middle Temple"",FALSE,POINT (101.6942371 3.1516964)";;
"Israel Englander,9.6,United States,hedge funds,241,72,""New York, New York"",United States,Married,3,""Bachelor of Arts/Science, New York University"",TRUE,POINT (-74.00601519999999 40.7127281)";;
"Charles Ergen,9.6,United States,satellite TV,241,68,""Denver, Colorado"",United States,Married,5,""Bachelor of Arts/Science, University of Tennessee Knoxville";" Master of Business Administration, Wake Forest University School of Business"",TRUE,POINT (-104.9848623 39.7392364)";
"Jim Pattison,9.6,Canada,diversified,241,92,""Vancouver, Canada"",Canada,Married,3,,TRUE,POINT (-123.1139529 49.2608724)";;
"Yao Liangsong,9.6,China,furniture,241,56,""Guangzhou, China"",China,,,,TRUE,POINT (113.2592945 23.1301964)";;
"David Geffen,9.5,United States,""movies, record labels"",245,78,""Beverly Hills, California"",United States,Single,,""Drop Out, The University of Texas at Austin"",TRUE,POINT (-118.3963062 34.0696501)";;
"Yeung Kin-man,9.5,Hong Kong,electronics,245,57,""Hong Kong, Hong Kong"",Hong Kong,Married,,,TRUE,POINT (114.1628131 22.2793278)";;
"Ding Shizhong & family,9.4,China,sports apparel,247,50,""Quanzhou, China"",China,Married,2,""EMBA, Xiamen University"",TRUE,POINT (118.6723605 24.8755492)";;
"Harold Hamm & family,9.4,United States,oil & gas,247,75,""Oklahoma City, Oklahoma"",United States,Divorced,5,""Diploma, High School"",TRUE,POINT (-97.5170536 35.4729886)";;
"Jim Kennedy,9.4,United States,""media, automotive"",247,73,""Atlanta, Georgia"",United States,Married,3,""Bachelor of Arts/Science, University of Denver"",FALSE,POINT (-84.39026440000001 33.7489924)";;
"Blair Parry-Okeden,9.4,United States,""media, automotive"",247,70,""New South Wales, Australia"",United States,Divorced,2,""Diploma, High School";" Bachelor of Arts/Science, University of Denver"",FALSE,POINT (149.1364342 -35.3137517)";
"Ding Shijia,9.3,China,sports apparel,251,57,""Quanzhou, China"",China,Married,,,TRUE,POINT (118.6723605 24.8755492)";;
"Kim Beom-su,9.3,South Korea,online services,251,55,""Seoul, South Korea"",South Korea,Married,2,""Bachelor of Science in Engineering, Seoul National University";" Master of Science, Seoul National University"",TRUE,POINT (126.9782914 37.5666791)";
"Ian & Richard Livingstone,9.3,United Kingdom,real estate,251,,""London, United Kingdom"",United Kingdom,,,,TRUE,POINT (-0.1276474 51.5073219)";;
"Sun Hongbin,9.3,United States,real estate,251,58,""Tianjin, China"",United States,,,""Master, Tsinghua University"",TRUE,POINT (117.1951073 39.0856735)";;
"Alberto Bailleres Gonzalez & family,9.2,Mexico,mining,255,89,""Mexico City, Mexico"",Mexico,Married,4,,FALSE,POINT (-99.1331785 19.4326296)";;
"Lam Wai-ying,9.1,Hong Kong,smartphone screens,256,,""Hong Kong, Hong Kong"",Hong Kong,Married,,,TRUE,POINT (114.1628131 22.2793278)";;
